name,ageable,alcohol_%,avg_rating_%,color,description,drink_now,keep_2_3_years,n_votes,price,tags,url,year
Μπουτάρης - Νάουσσα  2014,True,12.0,82,Ερυθρός,"Η Νάουσσα Μπουτάρη είναι κρασί για το κελάρι ή για το τραπέζι. Όπως και να επιλέξει να την μεταχειριστεί κανείς, είναι κρασί που υπηρετεί πιστά την ποικιλία και την καταγωγή του, και βγάζει ασπροπρόσωπο αυτόν που την αγοράσει για να την χαρίσει, να την παλαιώσει, ή να την ανοίξει. Ανάμεσα στα 100 κορυφαία κρασιά του κόσμου στην ετήσια αξιολόγηση του Wine Spectator!",False,False,34,8.7,"['Ήπιος', 'Ξηρός', 'Ξινόμαυρο']",http://www.houseofwine.gr/how/naoussa-boutari.html,2014.0
Κτήμα Αβαντίς - Άγιος Χρόνος 2013,True,14.0,88,Ερυθρός,"Το πάντρεμα του δυνατού ερυθρού Syrah (92%) με το λευκό και αρωματικό Viognier (8%) είναι μία πρακτική που ξεκίνησε στα οινοποιεία του Ροδανού στη Γαλλία και τελειοποιήθηκε από τους πιο νεωτεριστές Αυστραλούς οινοποιούς. Ο στόχος είναι η καλύτερη δυνατή προσέγγιση στην ισορροπία μεταξύ δύναμης και κομψότητας. Δοκιμάστε την ετικέτα Άγιος Χρόνος από το Κτήμα Αβαντίς, για να διαπιστώσετε από πρώτο χέρι την επίτευξη του απολαυστικού αυτού στόχου.",False,False,24,22.5,"['Ήπιος', 'Ξηρός', 'Viognier', 'Syrah']",http://www.houseofwine.gr/how/agios-hronos.html,2013.0
Κτήμα Αργυρού - Μαυροτράγανο 2015,True,14.0,78,Ερυθρός,"Ένα εντυπωσιακό κρασί με βαθυκόκκινο χρώμα, αρώματα βύσσινου και κερασιού και με νότες καπνού και δρυός, με αξιόλογο για την ποικιλία σώμα, ισορροπημένο με μακρά και ευχάριστη επίγευση, χαρακτηριστική της ποικιλίας.",False,False,8,33.2,"['Μαυροτράγανο', 'Ήπιος', 'Ξηρός']",http://www.houseofwine.gr/how/ktima-argyrou-mayrotragano-2009.html,2015.0
Αμπέλου Ιδέα Λευκός 2016,False,,,Λευκός,"Η ιδέα ήταν να παντρευτεί το Ασύρτικο με την αρωματική Μαλαγουζιά. Η εκτέλεση από τον Χρήστο Μπαραφάκα ισορροπημένη, με αρώματα τροπικών και λευκόσαρκων φρούτων, φρεσκάδα στο στόμα χωρίς όμως η οξύτητα να είναι πολύ υψηλή και συνολικά ευχάριστο, φρουτώδη χαρακτήρα, με έμφαση στην αμεσότητα των αρωμάτων και όχι στην πολυπλοκότητα.",True,False,,7.0,"['Ήπιος', 'Ξηρός', 'Ασύρτικο', 'Μαλαγουζιά']",http://www.houseofwine.gr/how/abelou-idea.html,2016.0
Niepoort Vintage 2003,True,20.0,,Ερυθρός,"Ένα μεγάλο Port από έναν ιστορικό οίκο, στην κορυφαία ίσως χρονιά της τελευταίας περιόδου. Η τέλεια ολοκλήρωση ενός όμορφου γεύματος που θα συνοδεύσει μπλε τυριά, σοκολατένια επιδόρπια ή το αγαπημένο σας πούρο.",False,False,,78.7,"['Ήπιος', 'Port Blend', 'Γλυκός']",http://www.houseofwine.gr/how/niepoort-vintage-03.html,2003.0
Gentilini Syrah S 2005,True,13.5,,Ερυθρός,"Μία πολύ εκλεκτική και περιορισμένη εμφιάλωση από το εξαιρετικό οινοποιείο της Κεφαλλονιάς. Ένα πληθωρικό και γεμάτο ερυθρό κρασί, το οποίο χαρακτηρίζεται από πικάντικη αρωματικότητα και υψηλή αρωματική και γευστική ένταση, ωστόσο φτάνει στο ποτήρι μας με απαράμιλλη κομψότητα και ισορροπία.",False,False,,38.9,"['Ήπιος', 'Ξηρός', 'Syrah']",http://www.houseofwine.gr/how/gentilini-syrah-s-3296.html,2005.0
Icewine 2013,False,10.5,,Λευκός,"Εισαγωγή στα ιδιαίτερα γλυκά κρασιά του πάγου με μία ποιοτική επιλογή από τον Καναδά. Πλούσιο και γεμάτο, με λεπτά αρώματα αποξηραμένων λουλουδιών και όμορφη γλυκύτητα που δεν λιγώνει, είναι μια όμορφη και πρωτότυπη πρόταση μετά το γεύμα.",False,False,,97.4,"['Ήπιος', 'Vidal', 'Γλυκός']",http://www.houseofwine.gr/how/icewine.html,2013.0
Πλαγίως - Ερυθρός 2011,True,15.0,79,Ερυθρός,"Το όνομα του κρασιού παραπέμπει στην υπέροχη κινηματογραφική ταινία ‘Πλαγίως’(Sideways). Οι ομοιότητες ωστόσο σταματούν στον τίτλο, αφού όσοι είχατε δει την ταινία, θα θυμάστε την αποστροφή του πρωταγωνιστή για το Merlot. Από την άλλη πλευρά, με 85% Merlot στο χαρμάνι του, το καινούριο ερυθρό της Βιβλίας Χώρας, αποδεικνύει την ‘πίστη’ του κτήματος στο πιο πολυφυτεμένο σταφύλι παγκοσμίως, μια ποικιλία που καταφέρνει και στην περίπτωση του ‘Πλαγίως’, να δώσει ένα κρασί διεθνών προδιαγραφών.",False,False,9,18.1,"['Ήπιος', 'Αγιωργίτικο', 'Ξηρός', 'Merlot']",http://www.houseofwine.gr/how/plagios-erythros.html,2011.0
Secreto Sauvignon Blanc  2015,False,13.5,,Λευκός,"Eξωτικό Sauvignon Blanc, από τους πιο ψυχρούς αμπελώνες της Casablanca Valley της Χιλής, μια ανερχόμενη περιοχή που φημίζεται για τα δροσερά λευκά κρασιά από αυτή την ποικιλία. Ένα κρασί που πρέπει να δοκιμάσουν όλοι οι Sauvignons lovers, με στιλ ανάμεσα σε αυτό των Sancerre και των αντίστοιχων Νεοζηλανδέζικων κρασιών.",True,False,,12.0,"['Ήπιος', 'Sauvignon Blanc', 'Ξηρός']",http://www.houseofwine.gr/how/secreto-sauvignon-blanc.html,2015.0
Nostos Roussanne 2016,False,14.5,87,Λευκός,"Από τα πιο περιζήτητα Ελληνικά λευκά κρασιά, λόγω μικρής παραγωγής, αλλά και μεγάλου fan club. Μια απο τις ελάχιστες Ελληνικές ετικέτες που βασίζεται στην ποικιλία Roussanne από το Ροδανό της Γαλλίας, είναι ένα κρασί πολύπλοκο και δυνατό που συνοδεύει θαλασσινές γεύσεις στα κάρβουνα με απαράμιλλη μαεστρία!",False,False,14,22.7,"['Ήπιος', 'Ξηρός', 'Roussanne']",http://www.houseofwine.gr/how/nostos-roussanne.html,2016.0
