"id","weibo_id","weibo_cont","weibo_img","weibo_video","repost_num","comment_num","praise_num","uid","is_origin","device","weibo_url","create_time","comment_crawled","repost_crawled"
"854","4174943987554645","和学霸一组真的是会对自己高要求????怕拖学霸后腿太严重今天的这个时候我在看文章，平时这个时候我在吃东西长肉????很悲剧的是我以为跟学霸一起的小组作业是这个星期的作业，结果是这学期的作业????要记期末成绩那种????学霸上学期选了Python，8.5????然而他本科是农业，并没有学过编程????北碚农业技术学院毕业生和康奈尔毕业生的区别????下午那门课每周要写的东西也是靠环境政策小哥带全组????有人发朋友圈说要放过自己呵呵，自己可以放过自己，然而瓦大并不会放过任何人????啊，明天白天快点过吧，晚上要去趴体和吃吃吃放松一下????已经预约了星期六撸猫噢耶",,,"0","0","2","2876525482","1","微博 HTML5 版","//weibo.com/2876525482/FvrDovHj7?refer_flag=1001030103_","2017-11-17 05:27","0","0"
"855","4174836828094951","#云栖技术分享# 《TensorFlow实现神经网络入门篇》如果你对深度学习所提供的前景感到兴奋，但还没有开始，这里或许是你开始的第一步。阅读本文后，你将能够理解神经网络的应用，并使用TensorFlow解决现实生活中的问题，本文中的代码是用Python编写的。网页链接 ​","https://wx2.sinaimg.cn/thumbnail/739a6626gy1flkahvfrizg20700cg48l.gif;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"69","11","51","1939498534","1","微博 weibo.com","//weibo.com/1939498534/FvoQyxXRJ?refer_flag=1001030103_","2017-11-16 22:22","0","0"
"856","4174793567478695","【走近 Python (类比 JavaScript )】Python 是一门运用很广泛的语言，自动化脚本、爬虫，甚至在深度学习领域也都有 Python 的身影。作为一名前端开发者，也了解 ES6 中的很多特性借鉴自 Python (比如默认参数、解构赋值、Decorator等)详见网页链接（来自：牧之） ​","https://wx1.sinaimg.cn/thumbnail/a1ab8e59ly1flk5j2lrqtj20c87gw1kx.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"8","3","8","2712374873","1","皮皮时光机","//weibo.com/2712374873/FvnIMvny7?refer_flag=1001030103_","2017-11-16 19:30","0","0"
"857","4174776823836416","NumPy 将停止支持 Python 2:NumPy 项目宣布将停止支持 Python 2。Python 核心团队已经决定在 2020 年停止支持 Python 2，而 NumPy 项目自 2010 年以来同时支持 Python 2 和 Python 3，项目资源有限，继续支持 Python 2 正日益成为负担 网页链接 ​",,,"9","1","2","1686235170","1","专业版微博","//weibo.com/1686235170/FvnhMg61G?refer_flag=1001030103_","2017-11-16 18:23","0","0"
"858","4174757073024652","【Python 协程（1）：yield表达式】 详见：网页链接分享自@vv1133_ ​",,,"7","0","3","1646218964","1","技术头条","//weibo.com/1646218964/FvmLVcGQI?refer_flag=1001030103_","2017-11-16 17:05","0","0"
"859","4174751461225866","《Python 科学数据库 Numpy 准备放弃支持 Python 2》详情：网页链接 ​","https://wx2.sinaimg.cn/thumbnail/005N3SJDgy1flk0oyqsq1j30dt08j0u4.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"53","16","30","5305630013","1","微博 weibo.com","//weibo.com/5305630013/FvmCS58U2?refer_flag=1001030103_","2017-11-16 16:42","0","0"
"860","4174745710149802","【开源科学计算包 NumPy 将停止支持 Python 2】NumPy 项目宣布将停止支持 Python 2。Python 核心团队已经决定在 2020 年停止支持 Python 2，而 NumPy 项目自 2010 年以来同时支持 Python 2 和 Python 3，项目资源有限，而继续支持 Python 2 正日益成为负担，因此它决定也停止支持 Python 2。O网页链接","https://wx2.sinaimg.cn/thumbnail/5375acf5gy1fljxztdqdvj20qx07fgmd.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"30","2","6","1400220917","1","微博 weibo.com","//weibo.com/1400220917/FvmtB0CYa?refer_flag=1001030103_","2017-11-16 16:20","0","0"
"861","4174740186935169","【今日限免：Python设计模式】《Learning Python Design Patterns - Second Edition》by Chetan Giridhar (Packt 2016) 网页链接 ​","https://ww2.sinaimg.cn/square/5396ee05ly1fljzdljcwqj20dw0h5n7y.jpg;https://ww2.sinaimg.cn/square/5396ee05ly1fljze4jlkaj20z41aedrc.jpg;https://ww2.sinaimg.cn/square/5396ee05ly1fljzeb58ojj20iy13uq6y.jpg",,"21","4","16","1402400261","1","Mac客户端","//weibo.com/1402400261/FvmkGt69z?refer_flag=1001030103_","2017-11-16 15:58","0","0"
"862","4174735526713378","秋天秋天悄悄过去，留下小秘密淞哥的拍照技术越来越好了满校园银杏树叶，真美弄了一天的python，崩溃 |大连·东北... ​","https://ww3.sinaimg.cn/square/73fd8556ly1fljytgdg2fj20qo0zk47f.jpg;https://ww1.sinaimg.cn/square/73fd8556ly1fljythbh5rj20qo0zk4dd.jpg;https://ww1.sinaimg.cn/square/73fd8556ly1fljyti6j2dj20qo0zkgzj.jpg",,"0","7","4","1945994582","1","魅蓝 E2","//weibo.com/1945994582/Fvmdasasi?refer_flag=1001030103_","2017-11-16 15:39","0","0"
"863","4174723141275308","#IT技术分享#【用最短的时间高效地学习Python全指导】网页链接 从菜鸟到Pythoner，最新最全的学习路线，让你更专业！1、Python学习资料与博客推荐网页链接2、Python - 深刻理解Python中的元类（metaclass）网页链接3、12个Python填空题网页链接 ​","https://wx3.sinaimg.cn/thumbnail/c5131475ly1fljxfwmhudj20ek091q2u.jpg;https://img.t.sinajs.cn/t4/style/images/common/loading.gif",,"40","21","48","3306361973","1","微博 weibo.com","//weibo.com/3306361973/FvlTc5lLu?refer_flag=1001030103_","2017-11-16 14:50","0","0"
